ours_model,baseline_model,metric,n_pairs,baseline_minus_ours_mean,baseline_minus_ours_median,bootstrap95_low,bootstrap95_high,paired_t_p,wilcoxon_p,direction_good_for_ours,paired_t_p_fdr,wilcoxon_p_fdr
residual_likelihood_guided_diffusion,unet_canonical_bxyz,rmse_norm,25,-0.000476521428324721,-0.00047398321013808475,-0.0006015954728924046,-0.0003439353679194013,2.7801691341374126e-07,1.4901161193847656e-06,False,4.073271056992023e-07,2.2088780122644763e-06
residual_likelihood_guided_diffusion,unet_canonical_bxyz,crps_norm,25,0.002687980532646171,0.002684697508811895,0.0024290287792682647,0.002956337332725519,2.929976288722907e-16,5.960464477539063e-08,True,6.152950206318105e-16,9.881822686446341e-08
residual_likelihood_guided_diffusion,unet_canonical_bxyz,uce,25,0.030679475791148363,0.029697595660250986,0.029090600890665903,0.03233065642119225,1.5853199472861541e-22,5.960464477539063e-08,True,8.684796232958931e-22,9.881822686446341e-08
residual_likelihood_guided_diffusion,unet_canonical_bxyz,ause_abs_error,25,0.046164405468193906,0.0452064166819464,0.044503993051473886,0.04790060069676722,3.0680337412097194e-26,5.960464477539063e-08,True,2.630504203009945e-25,9.881822686446341e-08
residual_likelihood_guided_diffusion,unet_canonical_bxyz,width90_norm,25,-0.028733492940664244,-0.0287835486233234,-0.029334904022514766,-0.028174258863553365,2.703770330008645e-32,5.960464477539063e-08,False,8.516876539527232e-31,9.881822686446341e-08
residual_likelihood_guided_diffusion,vanilla_diffusion,mae_kpa,25,9.776271781921388,9.52947759628296,9.407180716514587,10.156141733884812,1.0714895587467398e-25,5.960464477539063e-08,True,7.536374956649034e-25,9.881822686446341e-08
residual_likelihood_guided_diffusion,vanilla_diffusion,rmse_kpa,25,4.896754759870147,4.675035165863159,4.506684682622347,5.302431270619323,4.649104875314382e-18,5.960464477539063e-08,True,1.226338276383196e-17,9.881822686446341e-08
residual_likelihood_guided_diffusion,vanilla_diffusion,mae_norm,25,0.36978045672178267,0.3673269301652908,0.3622255228981376,0.37772451958060266,4.651097799244256e-32,5.960464477539063e-08,True,9.870929017035494e-31,9.881822686446341e-08
residual_likelihood_guided_diffusion,vanilla_diffusion,rmse_norm,25,0.30251353154138444,0.30177967523472304,0.2939650551056676,0.3113352456985651,7.044844416701143e-29,5.960464477539063e-08,True,8.917788601979456e-28,9.881822686446341e-08
prior_init_diffusion_unet,explicit_residual_target_diffusion,mae_kpa,25,0.11668700218200684,0.08138608932495162,0.0600277049541472,0.19042160129547112,0.0025071501964397543,5.3882598876953125e-05,True,0.0031909184318324145,6.789207458496094e-05
prior_init_diffusion_unet,explicit_residual_target_diffusion,rmse_kpa,25,0.05600591892921887,0.034725652551088615,0.02465692675840794,0.09057229734394287,0.003371509533146304,0.0037809014320373535,True,0.0041243708852081,0.004411051670710246
prior_init_diffusion_unet,explicit_residual_target_diffusion,mae_norm,25,0.0089280205965042,0.005753628909587902,0.0048119555637240255,0.0139945307523012,0.0009781226122126782,2.664327621459961e-05,True,0.0012972994646189206,3.533739792673211e-05
prior_init_diffusion_unet,explicit_residual_target_diffusion,rmse_norm,25,0.0021661784026568796,0.0009337729850983079,0.0007846863007625023,0.004076522266419703,0.022184014080146145,0.0005564093589782715,True,0.025881349760170504,0.0006873292081496295
prior_init_diffusion_unet,explicit_residual_target_diffusion,crps_norm,25,-0.013372785001993187,-0.015703741461038596,-0.015851346064358954,-0.010148038748651748,5.178928392080942e-09,2.562999725341797e-06,False,7.792584368294666e-09,3.588199615478516e-06
prior_init_diffusion_unet,explicit_residual_target_diffusion,uce,25,-0.050769188752042685,-0.051001793325651995,-0.056159495261956315,-0.04574133172469732,9.378756919311512e-16,5.960464477539063e-08,False,1.8180359566665395e-15,9.881822686446341e-08
