case_id,config_id,split_id,seed_id,depth_group,operator,method,source_label,true_zbottom_mm,true_ztop_mm,true_thickness_mm,posterior_mean_zbottom_mm,posterior_std_zbottom_mm,posterior_q025_mm,posterior_q05_mm,posterior_q10_mm,posterior_q25_mm,posterior_q50_mm,posterior_q75_mm,posterior_q90_mm,posterior_q95_mm,posterior_q975_mm,cov50,cov80,cov90,cov95,width50_mm,width80_mm,width90_mm,width95_mm,pit,crps_mm,wis90_mm,absolute_error_mm,squared_error_mm2,bias_mm,interval_iou,d_out_mm,failure_label_tau_0p5mm,failure_label_tau_1mm,failure_label_tau_2mm,forward_residual,calibration_scale
eval_000,shallow_0231,train,20260533,shallow,PIEZO,vanilla_3d_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.3312106132507324,0.48254239559173584,1.4696963459253312,1.6082987904548645,1.6924190521240234,1.91049125790596,2.345122218132019,2.7440370321273804,2.937289261817932,3.0255236983299256,3.178051543235779,False,True,True,True,0.8335457742214203,1.2448702096939086,1.4172249078750612,1.7083551973104478,0.1640625,0.32055759597011513,1.9769132463394994,0.5457767335831516,0.2978722429206944,0.5457767335831516,0.4822943526685539,0.0,True,False,False,0.10008747513447273,0.4
eval_000,shallow_0231,train,20260531,shallow,PIEZO,eapp_only_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.5102976560592651,0.44233787059783936,0.9109211564064026,0.9109211564064026,0.9109211564064026,1.0672948956489563,1.4834047555923462,1.9000051021575928,2.0468504190444947,2.140705299377441,2.2501073658466337,True,True,True,True,0.8327102065086365,1.1359292626380921,1.2297841429710386,1.3391862094402311,0.6328125,0.17832796504744763,1.5318132670462732,0.2751362236083157,0.07569994154144509,-0.2751362236083157,0.8301519431735754,0.0,False,False,False,0.08482472566182285,0.42500000000000004
eval_000,shallow_0231,train,20260532,shallow,PIEZO,eapp_only_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.5414278507232666,0.433281809091568,0.9288210272789001,0.9288210272789001,0.9288210272789001,1.1231408715248108,1.5886657238006592,1.902800589799881,2.1028441190719604,2.1656975746154785,2.348997646570206,True,True,True,True,0.7796597182750702,1.1740230917930603,1.2368765473365784,1.420176619291306,0.65625,0.16035960342143218,1.4336447032035,0.24400602894431422,0.05953894216117351,-0.24400602894431422,0.8426190689021688,0.0,False,False,False,0.08686729274998696,0.42500000000000004
eval_000,shallow_0231,train,20260533,shallow,PIEZO,eapp_only_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.5644214153289795,0.45814254879951477,0.9420422911643982,0.9420422911643982,0.9420422911643982,1.1269656419754028,1.582753598690033,1.9611871242523193,2.1358951568603515,2.2312691926956174,2.319574135541916,True,True,True,True,0.8342214822769165,1.1938528656959533,1.2892269015312192,1.377531844377518,0.5703125,0.16889525238033065,1.491907182508767,0.22101246433860133,0.04884650939302153,-0.22101246433860133,0.8380933250974816,0.0,False,False,False,0.08667205575212461,0.42500000000000004
eval_000,shallow_0231,train,20260531,shallow,PIEZO,dps_inverse_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.3598177433013916,0.2918313443660736,0.740107211470604,0.8218477487564086,0.9781188011169434,1.1660734415054321,1.3692144751548767,1.5442675054073334,1.6984568595886231,1.8743000745773315,1.9304923743009568,False,False,True,True,0.37819406390190125,0.7203380584716798,1.0524523258209229,1.1903851628303528,0.921875,0.28198917768351234,1.468671730333627,0.4256161363661892,0.18114909553528258,-0.4256161363661892,0.6984616411090384,0.0,False,False,False,0.09835295673282914,0.525
eval_000,shallow_0231,train,20260532,shallow,PIEZO,dps_inverse_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.4866275787353516,0.26936450600624084,1.0256501764059067,1.0812045454978942,1.1546919822692872,1.298751562833786,1.4921939373016357,1.671552062034607,1.8192020058631897,1.8531726837158202,1.9144823133945466,False,True,True,True,0.3728004992008209,0.6645100235939025,0.771968138217926,0.8888321369886398,0.84375,0.1792870161446517,1.065208080583871,0.29880630093222926,0.08928520547680195,-0.29880630093222926,0.7764161850819739,0.0,False,False,False,0.0848009498490063,0.525
eval_000,shallow_0231,train,20260533,shallow,PIEZO,dps_inverse_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.114795207977295,0.2914988696575165,1.4891854137182237,1.6355850458145142,1.7452434659004212,1.9251917004585266,2.1168841123580933,2.3298489451408386,2.450921559333801,2.5899193406105034,2.6649289667606353,False,True,True,True,0.404657244682312,0.70567809343338,0.9543342947959892,1.1757435530424116,0.140625,0.20625804158130517,1.2857845274865016,0.3293613283097141,0.10847888458593928,0.3293613283097141,0.6643428239814614,0.0,False,False,False,0.09328689767259656,0.525
eval_000,shallow_0231,train,20260531,shallow,PIEZO,op_conditioned_diffusion_ours,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.6295228004455566,0.22731392085552216,1.220473763346672,1.2735365450382232,1.344298779964447,1.4823904931545258,1.622263491153717,1.7750399708747864,1.935807192325592,1.9809698224067687,2.0556457340717316,False,True,True,True,0.2926494777202606,0.5915084123611449,0.7074332773685454,0.8351719707250596,0.7578125,0.09681649956949603,0.8706036658824092,0.15591107922202418,0.0243082646241763,-0.15591107922202418,0.8921201367342678,0.0,False,False,False,0.07993066859040755,0.525
eval_000,shallow_0231,train,20260532,shallow,PIEZO,op_conditioned_diffusion_ours,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.0282816886901855,0.26507702469825745,1.5518871188163756,1.621024477481842,1.7125010013580322,1.8385562300682068,2.0306620597839355,2.225188910961151,2.3651390075683594,2.4436359763145448,2.481159245967865,False,True,True,True,0.38663268089294434,0.6526380062103272,0.8226114988327027,0.9292721271514894,0.171875,0.14173570334827063,1.0678396789490574,0.24284780902260472,0.058975058347079494,0.24284780902260472,0.7418759974439054,0.0,False,False,False,0.08639079950526321,0.525
eval_000,shallow_0231,train,20260533,shallow,PIEZO,op_conditioned_diffusion_ours,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.0048530101776123,0.2672472894191742,1.4570996940135956,1.624575662612915,1.7077196002006532,1.8448540270328522,1.9709870219230652,2.1802064776420593,2.349585223197937,2.4612331867218016,2.5300843119621277,False,True,True,True,0.33535245060920715,0.6418656229972837,0.8366575241088865,1.072984617948532,0.21875,0.12514076771063365,1.0222106663643709,0.21941913051003148,0.048144754833778225,0.21941913051003148,0.7549358243843723,0.0,False,False,False,0.09137892415799641,0.525
