figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm
Figure 3,3D,PIEZO,sheet piezo,op_conditioned_diffusion_ours,operator-conditioned diffusion,100,300,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6127878059006926,0.7377139915911861,0.3375204545186411,0.9115124825490678,2.039393250052816,0.8123646967720154
Figure 3,3D,US,ultrasound,op_conditioned_diffusion_ours,operator-conditioned diffusion,100,300,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.3372859497115478,0.3837135311199498,0.18964699542342045,0.880688832772166,0.9141035590348061,0.9945945945945946
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.618620642852037,0.6948643822994663,0.5995380962757513,0.043509279789767485,0.22931894446676734,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.0823342783254954,1.390245843661567,1.0791233319570432,0.5818813131313131,3.7146213951346385,0.8212105102929353
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.9365036871900514,0.914240411345993,0.8031346693150259,0.09916132873449934,0.3806965206666505,0.7986167935187544
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.338875830186476,1.6766416179365196,0.951637714012048,0.7914562289562289,4.2273496618982715,0.45522714720908386
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.1579866460021468,1.3620887903727135,0.8302260734769641,0.7015291806958472,4.169344835075965,0.34370787886610876
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.7850203406633118,1.8517972483123224,1.1210549332260134,0.8099046015712683,5.269748532403289,0.4798810075735781
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.7009813876738408,0.7758560793871905,0.6567167500028236,0.05013806766855533,0.24727082167293382,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.0687938027262622,1.3650099603825607,1.0696904110213012,0.5695707070707071,3.567198692539541,0.8212105102929353
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.9689488455451669,1.0661450072952892,0.9049756542739605,0.1152598135829842,0.42453059211842015,0.7986167935187544
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5888103804682843,0.651282163899303,0.3738056641789939,0.9010316580438531,1.5396839549629464,0.9356028159306848
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6457764627029239,0.8999065958774514,0.49050843574170483,0.8454475308641977,2.6236281573052143,0.9588478085047406
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.7339947822319891,0.8227738598852957,0.477041887998555,0.8965561783143084,1.8489515501161282,0.969279688619634
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,200,600,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5666924746989415,0.6163834934690278,0.35172914746515754,0.893013468013468,1.7608832785196622,0.5816361082754525
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,200,600,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5906957955932166,0.9109961023228419,0.42626637267049744,0.9317812269031781,2.195102441534267,0.965120411995412
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,200,600,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.4964216611691814,0.5349115701800784,0.3128631582123899,0.885311447811448,1.7955828397765192,0.7653517551058536
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.4431358221094178,0.5116583075653924,0.2864885185613929,0.8727075976567845,1.1113625820576285,0.9238788238788238
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.45643147243618404,0.6305540718055249,0.3452772282226435,0.8921436588103253,2.1582710379969545,0.9959051424269704
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,200,200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5725804754036522,0.6213977071192621,0.364871803900649,0.8313105649995894,1.2812001953356542,0.9635620779746464
