r_mm,MMP,PIEZO,US
4.867924528301887,2.6450253301341414e-07,5.061532366473393e-19,0.01369211550554718
4.90566037735849,2.079063350827371e-07,2.6274111570564e-19,0.01280756711992544
4.943396226415095,1.632890606104061e-07,1.3569854429280152e-19,0.01197398634313263
4.981132075471698,1.2811806517236489e-07,6.973061015636748e-20,0.0111888875197752
5.018867924528302,1.0040493830831789e-07,3.5651094679319066e-20,0.010449874843991949
5.056603773584905,7.858358086915178e-08,1.8135243922893757e-20,0.009754641245723153
5.09433962264151,6.141754001005076e-08,9.178570766032249e-21,0.009100967129165657
5.132075471698113,4.7928975241827636e-08,4.6219777188904965e-21,0.008486718976945789
5.169811320754717,3.7343765212156813e-08,2.3156971547373087e-21,0.007909847833112715
5.2075471698113205,2.9048777611600327e-08,1.1543481309742644e-21,0.0073683876776034435
5.245283018867925,2.2558396724784517e-08,5.725230467357772e-22,0.006860453704357576
5.283018867924528,1.748816540594341e-08,2.8252069827423202e-22,0.006384240514771642
5.320754716981132,1.3533943219777459e-08,1.3871029513366692e-22,0.005938020237679941
5.3584905660377355,1.0455375184758367e-08,6.775919661640217e-23,0.005520140586537029
5.39622641509434,8.0627513797906e-09,3.293282058198156e-23,0.005129022863956762
5.433962264150943,6.206548163933825e-09,1.5925414165315427e-23,0.004763159923239523
5.471698113207547,4.7690987667099835e-09,7.662203298494707e-24,0.004421114095993052
5.509433962264151,3.6579596747088353e-09,3.667902083790761e-24,0.004101515094427979
5.547169811320755,2.8006300869645134e-09,1.7469598497996186e-24,0.003803057896386862
5.584905660377358,2.1403520855014196e-09,8.278454031943996e-25,0.0035245006206494865
5.622641509433962,1.6327742488855803e-09,3.9031629892644314e-25,0.003264662399547159
5.660377358490566,1.2433049217427166e-09,1.8309869967372107e-25,0.003022421255418613
5.69811320754717,9.450159183568218e-10,8.545843998214524e-26,0.0027967119869496395
5.735849056603773,7.16985053929474e-10,3.968494555393377e-26,0.0025865240709606716
5.773584905660377,5.429880387976748e-10,1.83357105519256e-26,0.002390899584741163
5.811320754716981,4.1046806351108104e-10,8.428898572716529e-27,0.0022089311535791745
5.849056603773585,3.0972571667174434e-10,3.855183360178437e-27,0.002039759927698629
5.886792452830188,2.3328339590121e-10,1.7543667079021536e-27,0.0018825735923974892
5.9245283018867925,1.7538763720526637e-10,7.943224611727958e-28,0.0017366044147769262
5.962264150943396,1.3162023312705536e-10,3.5782809550830433e-28,0.0016011273300661772
6.0,9.859498475472383e-11,1.603810890548638e-28,0.001475458070179471
