figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,144,432,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,59.32761619324006,64.88958537068935,0.2062784651145707,38.260148024126686,0.8869791666666667,194.685982418578
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,144,432,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,61.55670495435387,67.80756407337786,0.18376512172207415,40.09115221221956,0.8637152777777778,194.685982418578
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.420794263744921,3.3056352919952943,0.007193050392342304,1.6822875899385268,0.9104166666666667,8.2297491839317
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,3.978199460436508,5.773048474264594,0.7857916558555115,2.992707697904291,0.8939236111111111,17.36971229290269
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,6.89031016637642,10.601021808984974,0.7486923618050266,5.350061926118849,0.8708333333333333,27.364049230897294
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,1.6851211962424706,5.785527869241243,0.8684296790844166,3.5062943631372026,0.9712673611111111,34.85923864729612
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.5894452722802725,11.778452276236017,0.7644554073952808,6.224399815639311,0.8383680555555556,34.85923864729612
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,7.656370843469783,12.385396981838685,0.7501004087825167,6.4223514710096525,0.8251736111111111,34.85923864729612
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,16.764889070181674,19.64797600180151,0.002755845300471349,10.987129697534916,0.9455729166666667,59.36944720215972
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,15.638881496821956,19.147173185563886,0.2854466281538912,10.707313522948834,0.9324652777777778,64.66684498343187
