figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.722557580649958,6.284780888452883,0.5090376491901486,2.791589244332278,0.9108506944444444,14.224341130136184
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,7.325508485965404,11.353268971112294,0.7894463151170489,5.7838057355200005,0.8699652777777778,29.455400609936916
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,10.672775680239237,16.39459064024798,0.7647516968737341,8.515675725240593,0.8569444444444444,43.06535894734884
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.4589499096578566,6.092302079041515,0.7987239911285191,2.6839190775445876,0.8580729166666666,10.200749012737154
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,6.486795631583459,9.772745567285485,0.8050633133883919,5.051897267684773,0.8110243055555556,20.766282576460796
Figure 2,2D,US,ultrasound,U-Net,U-Net,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.670321026723435,13.358843717512018,0.7922817964859004,6.985584837114171,0.7950520833333333,29.785023508862853
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,96,288,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.735473559264235,26.836793677891958,0.5222637427437812,18.026059495785518,0.9987847222222223,185.11629166744794
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,96,288,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,63.35429298971291,72.26233601394365,0.20908747850433076,42.900014026148874,0.7776909722222223,185.11629166744794
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,96,288,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,66.50975184872816,76.41706234997567,0.1783825841773951,45.669847351876655,0.7272569444444444,185.11629166744794
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.3853018410950955,5.347699679965552,0.021937357992857676,2.469357542083272,0.8705729166666667,9.772957522088188
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,5.600321604145099,8.627701527542515,0.8340064612975191,4.345784106749187,0.8328125,18.363382653374526
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.32426732552901,12.935715059316138,0.7842503087554686,6.696473146706641,0.7907118055555555,27.135916152650893
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.154126683352367,8.444411930528323,0.85689035225256,3.975577917369918,0.9421006944444444,29.720692795334383
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.950296371296918,14.394140123965835,0.7363200937564879,7.413110689765353,0.7769965277777777,29.720692795334383
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,9.050636556426447,14.832890561149243,0.7224902498356138,7.579494749069512,0.7685763888888889,29.720692795334383
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.7558678869939186,4.683332442620323,0.577041101623612,2.07269896435461,0.9340277777777778,11.873405825022912
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,7.086604014630239,10.231240170895655,0.8142770444017624,5.451526825259506,0.8715277777777778,29.25598179719878
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,10.094204405799653,14.844346635289757,0.7835731497275634,7.908938575866287,0.8697048611111111,43.2726035156649
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.5215760938775293,4.37455789257322,0.8795364599468164,1.933278122229474,0.8813368055555556,8.163551590196073
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,4.754699828027464,7.322501759115394,0.8838834606587148,3.741383854045821,0.86171875,18.977917284913165
Figure 2,2D,US,ultrasound,U-Net,U-Net,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,7.299791372820692,10.616877860685195,0.8368549318016417,5.6997369961306,0.8334201388888889,29.369982260698656
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,144,432,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.611098964047192,26.624710357271624,0.5319608629716204,18.244787709109872,0.9999131944444445,191.11616108640163
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,144,432,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,63.72254664841052,71.26562931958325,0.2278734633314185,42.3759532774085,0.8105034722222222,191.11616108640163
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,144,432,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,66.72802502878093,75.16569377656452,0.1977262884759614,44.96430101359786,0.7776909722222223,191.11616108640163
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.4988905579724086,3.9556363005427135,0.07485059830796315,1.8050001541646417,0.8887152777777778,7.701953286669995
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,4.353761177877702,6.617048515146941,0.8884929061169466,3.355062004456818,0.85625,16.469444058299025
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,6.7894722684363265,9.702849673298601,0.8172104004696814,5.22333724891411,0.8240451388888889,26.13320617904165
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,1.7960128872668772,6.556886422263978,0.917214808197237,3.5267901848602414,0.9678819444444444,32.32055541318022
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.58826282091796,13.26908855574021,0.7990739328479626,6.9584091720344485,0.8008680555555555,32.32055541318022
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.712679398449549,13.843926188833896,0.7828560651487716,7.176365245273775,0.7971354166666667,32.32055541318022
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,19.62959184859449,22.160822047338023,0.003077244572893323,12.658629852854599,0.95546875,67.79688906662258
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,19.17417134547207,23.243235775992552,0.30632700059986223,13.201532555733163,0.8769965277777778,72.09378528822572
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,20.582155485156264,25.33625684239111,0.24752987671635904,14.211185764830272,0.8845486111111112,74.98371721066738
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,18.859768975896536,22.345796315723963,0.24698160848749073,12.802532281371718,0.9510416666666667,66.39560150047278
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,19.90572998746468,24.06371206381946,0.3108532403916672,13.703787970082205,0.8493923611111112,70.35514696405484
Figure 2,2D,US,ultrasound,U-Net,U-Net,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,24.23412636368026,32.40704674577125,0.29987201659745477,17.859384442538865,0.7774305555555555,73.44913162974883
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,12,36,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.200871138464981,29.989131399830935,0.49333098569730804,20.00605650609442,0.9988715277777778,204.21358551215752
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,12,36,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,62.50819763475186,72.36736862553981,0.1805002795302918,42.21595653815785,0.7942708333333334,204.21358551215752
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,12,36,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,64.95710919769616,75.74587661314635,0.1547934996338542,44.32677245663342,0.7692708333333333,204.21358551215752
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,19.53362036633389,21.95668320927052,-0.5757798498670202,12.643701770398485,0.9547743055555555,66.36180607940138
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,20.71749772847174,25.48793080578954,0.3876908619251358,14.484629910404816,0.82734375,70.08342010250013
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,26.588541835629567,36.51745220010798,0.2923910719657464,19.935130325409485,0.7392361111111111,72.49373222921629
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.825476283528947,12.044806978464136,0.6251004536137822,6.014344357145613,0.8879340277777777,35.332822076691244
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,10.266739103293778,15.280107879935436,0.5193074944245153,7.846757902207458,0.8118923611111111,35.332822076691244
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,10.330255857526605,15.527263514444728,0.508595917974752,7.919594902881072,0.8193576388888889,35.332822076691244
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,10.756603957517891,12.61827910062429,-0.05141438288345912,7.155527165043449,0.91484375,37.266174451565014
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,12.197934540527397,15.973592615747524,0.3254472329662677,8.764364740055903,0.8544270833333333,42.80080178274221
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,14.49928987582029,20.446280578771596,0.3141735742091319,10.75147910441428,0.8197916666666667,44.64619561815402
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,10.636378895248388,13.641254574573738,0.256848215404968,7.595323536110701,0.8766493055555555,34.99213254563804
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,13.089216257774074,16.977189520411997,0.3475185380733949,9.508568952257747,0.7909722222222222,39.36387326730164
Figure 2,2D,US,ultrasound,U-Net,U-Net,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,17.952520866960917,25.71741907670112,0.3817425980176308,14.054493538974839,0.6993055555555555,41.244798861387366
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,24,72,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,8.288638979922025,35.09474591557174,0.5407189648376467,21.181240117192814,0.9934895833333334,186.1590025412184
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,24,72,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,61.96571805036404,70.63377918242918,0.2085001790608396,41.76674263340943,0.7751736111111112,186.1590025412184
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,24,72,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,65.20704637691591,75.24635424827241,0.16869739996341665,44.715000699762214,0.7297743055555556,186.1590025412184
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,11.015662958613628,12.909487239529083,-0.5636709079322454,7.4246652349563265,0.8786458333333333,34.8947060893642
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,13.054166979878657,16.968395245431513,0.35698014303968284,9.49468522974796,0.7876736111111111,39.13377911007902
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,19.502385425313484,28.837569307476247,0.3380449229005437,15.473934809968958,0.6972222222222222,40.01373605841987
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.7052345034761944,12.491728478917018,0.7566597016979597,5.869424785447465,0.8534722222222222,26.406355685506192
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,9.750145065180822,15.44654505441733,0.6933096130109648,7.9228518036246856,0.7530381944444444,26.406355685506192
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,9.908730616865519,15.752918048511438,0.6858730569088585,8.064306925467344,0.7513888888888889,26.406355685506192
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.335041155611642,8.90891001596977,0.14210997616381743,4.855657216320298,0.9503472222222222,26.270742543695235
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,8.838034122303851,11.856572990805656,0.532075477569385,6.4339856523833685,0.90078125,39.362582135449365
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,11.081485835275569,17.51978759740915,0.48626636794330425,8.358978626298768,0.8908854166666667,44.35232422917824
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.209678491840035,9.321426972131368,0.41093115217424847,5.056008708215528,0.9270833333333334,24.020603539918636
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,7.900453439622494,10.984131892561031,0.599652236190162,5.814192038663942,0.8698784722222223,31.434692016152116
Figure 2,2D,US,ultrasound,U-Net,U-Net,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,12.060524937395723,19.140186643063743,0.5386776735019669,9.186015169074542,0.8376736111111112,39.49862859514179
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,48,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.330686408585075,31.767018060149784,0.5511208962221321,20.53716337516032,0.9991319444444444,202.7156362900915
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,48,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,64.0525777312214,68.86320087550364,0.25212300263576576,41.11099813620204,0.8918402777777777,202.7156362900915
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,48,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,66.87718239957438,72.12500630807527,0.22882271516987712,43.311310386818924,0.8577256944444445,202.7156362900915
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.39345352836859,8.82816091431473,-0.37906901441322677,4.882268434725801,0.9394097222222222,23.801805253784718
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,7.8103584877820795,10.816688482387478,0.5924743409692329,5.699643164082961,0.8697048611111111,30.32244498834594
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,11.504512409785942,21.225813557312037,0.5523594339294409,8.902696741500618,0.8602430555555556,36.49660820336184
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.4893281540080108,9.172290970511572,0.8289057205372301,4.511582664334227,0.9254340277777777,32.936555383715955
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,8.65524993333549,13.309814967325037,0.7395975053548556,6.918146434105548,0.81796875,32.936555383715955
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,8.561813334978117,13.661377686131214,0.7226088082739,6.947432709091823,0.8186631944444445,32.936555383715955
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.968481833196168,6.070293745920723,0.4684552471229203,2.821951365640554,0.940625,15.683998439893472
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,7.229442857505435,10.334330627217996,0.6817630176528371,5.478032027657012,0.9059895833333333,34.386621680371746
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,9.623970218800487,15.144046508472767,0.6897204540736425,7.619796612561595,0.90859375,48.321032490556505
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.94971542285443,8.472303040098899,0.7715785147893366,3.0101975469822237,0.9231770833333334,12.220677940568926
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,8.342593341190927,14.460160381351429,0.7072184820938827,6.705000904326012,0.7802951388888889,22.342208116069646
Figure 2,2D,US,ultrasound,U-Net,U-Net,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,13.077859526237832,23.256747783381964,0.6928419673797305,10.651824442756075,0.8240451388888889,34.741740038347174
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,96,288,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.886508471308004,28.648219371991757,0.5259312866444672,19.2390369445827,1.0,197.77098634936098
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,96,288,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,63.70672574327071,69.34468495991179,0.241043246655794,41.358759912076,0.8511284722222222,197.77098634936098
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,96,288,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,66.30973584115799,72.53105311913208,0.2183292861344676,43.483615443721774,0.8157118055555556,197.77098634936098
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.448552466577358,10.105329326399533,-0.04673214731720432,3.3153214732002034,0.9141493055555555,11.809218903677863
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,6.315687552744332,10.704143931193073,0.7222938194771159,4.808715795569543,0.8240451388888889,20.282854331562316
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,96,96,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,13.35962470970022,26.128917468309417,0.6868368362621673,11.108338481921383,0.8248263888888889,30.47729344320495
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.596029997542191,45.08952054617918,0.8666559371058301,8.928588728262111,0.9332465277777777,35.61078291332105
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,7.932787899968867,12.521922860180014,0.7658601555494188,6.458872851946454,0.8574652777777778,35.61078291332105
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,96,288,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,8.28687200980237,13.601916674161894,0.7418943164420261,6.881083939403407,0.8393229166666667,35.61078291332105
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.6400412819689265,4.194246528019657,0.5540873320683132,1.941827298916747,0.9438368055555556,11.7185870379402
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,6.5137923826932616,9.001370127829569,0.734448066472312,4.9188135344767865,0.8965277777777778,30.13810689159995
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,8.677940698874979,12.948271541905214,0.7090893707628916,6.886474940334958,0.9069444444444444,44.919687301275545
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.263213870057106,3.5451638099106346,0.861447309532297,1.6689964190116673,0.9220486111111111,8.437314092651398
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,4.862822833292341,7.198924484839072,0.7927290483239875,3.712029113472039,0.8539930555555556,18.682980228380003
Figure 2,2D,US,ultrasound,U-Net,U-Net,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,6.7915514000277675,10.60649166294684,0.7749294012415291,5.302335160071935,0.8915798611111111,29.779046435177285
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,144,432,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.072579689967497,26.121791011868574,0.5673019390436265,18.169985396048073,1.0,193.55264333249835
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,144,432,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,62.93895381435502,69.56511727063136,0.2290045433707768,41.359988061994414,0.8173611111111111,193.55264333249835
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,144,432,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,65.88708882443426,73.32036659126251,0.20038541224514614,43.838034849228826,0.7832465277777778,193.55264333249835
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.363786839020853,3.487022520914124,0.038312056044418785,1.653363050477336,0.9224826388888889,7.982611228587347
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,4.271372864827177,6.204921336440418,0.8369557571423832,3.1897807196841983,0.8709201388888889,16.36750525005558
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,144,144,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,6.600190347031152,10.721132065616152,0.7706607000835135,5.167835278734646,0.8795138888888889,26.119128470299955
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,1.7015389609657918,5.88088646493769,0.9119010527475485,3.4380015836241595,0.9723958333333333,33.28106746970457
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,7.523819670014524,11.71077770549202,0.7875279963493753,6.114808929189954,0.8348090277777778,33.28106746970457
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,144,432,20260606,45,fast_surrogate_benchmark_from_207_lesion_maps,7.678957731078506,12.463237176524553,0.7683014011779695,6.368399755945497,0.8284722222222223,33.28106746970457
