operator,method,seed_id,coverage_fraction,risk_mae_mm,oracle_risk_mae_mm
PIEZO,op_conditioned_diffusion_ours,20260533,0.45,0.24545241508576277,0.19704476920061195
PIEZO,op_conditioned_diffusion_ours,20260533,0.5,0.25975403692628063,0.22518974148866736
PIEZO,op_conditioned_diffusion_ours,20260533,0.55,0.3133711502599683,0.261553580284595
PIEZO,op_conditioned_diffusion_ours,20260533,0.6000000000000001,0.360748976415137,0.30284170299125196
PIEZO,op_conditioned_diffusion_ours,20260533,0.65,0.40256827238987836,0.33909256121040776
PIEZO,op_conditioned_diffusion_ours,20260533,0.7,0.44266728212216244,0.3744726185669329
PIEZO,op_conditioned_diffusion_ours,20260533,0.75,0.47723990917569564,0.4120192392030263
PIEZO,op_conditioned_diffusion_ours,20260533,0.8,0.4986271166264233,0.44590763574182846
PIEZO,op_conditioned_diffusion_ours,20260533,0.8500000000000001,0.5237558965329211,0.4782347052220255
PIEZO,op_conditioned_diffusion_ours,20260533,0.9000000000000001,0.5460401282866556,0.5096120597975939
PIEZO,op_conditioned_diffusion_ours,20260533,0.95,0.5644196454953416,0.545313517054739
PIEZO,op_conditioned_diffusion_ours,20260533,1.0,0.5787853580019073,0.5787853580019073
US,direct_scalar_regression,20260531,0.2,1.7451089790005379,0.2499364060257907
US,direct_scalar_regression,20260531,0.25,1.6826178225702642,0.3108831745883926
US,direct_scalar_regression,20260531,0.30000000000000004,1.5852982586330182,0.38705870252785957
US,direct_scalar_regression,20260531,0.35000000000000003,1.4801485526881502,0.46337744777952317
US,direct_scalar_regression,20260531,0.4,1.3633636091422623,0.5414352670558152
US,direct_scalar_regression,20260531,0.45,1.2451240561613979,0.6277293878605439
US,direct_scalar_regression,20260531,0.5,1.163589340930287,0.6980012200749144
US,direct_scalar_regression,20260531,0.55,1.1317515943980165,0.7625288246377743
US,direct_scalar_regression,20260531,0.6000000000000001,1.1104939478075047,0.8321448340437538
US,direct_scalar_regression,20260531,0.65,1.105246620981615,0.8918669097266025
US,direct_scalar_regression,20260531,0.7,1.108720629174233,0.947924935327726
