figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa,calibrated_score
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,10000,30000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.9088785037614797,8.894387632068135,0.9060306496367335,3.9030589752593654,0.9613715277777778,33.1785933724026,3.774084613651769
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,10000,30000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.271620772529676,11.286738175044675,0.7978111094434679,5.9452150832513935,0.8438368055555555,33.1785933724026,7.680018223903522
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,10000,30000,162,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.691582397509873,12.449773971382646,0.7745064918755703,6.40925859916821,0.8261284722222222,33.1785933724026,8.259771340242592
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,6.744735732831702,9.60658457026929,0.03579881598963375,4.739551354246075,0.9116319444444444,22.46024476325997,6.82319012416846
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,8.458629669183253,12.4823344257808,0.4445994128873328,6.378198852372626,0.90078125,36.82511165800869,8.465237973612302
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,9.014664719423267,13.321582445478706,0.44629900418662244,6.802725748902839,0.9102430555555555,40.40562562777015,9.107002430959026
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,23.643034688316817,10.085093521483232,0.35824171910630515,4.90421370259626,0.8801215277777777,20.054076124389464,6.943039128320905
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,9.974767784878305,14.930403776200022,0.41781305763501525,7.792544594972052,0.7744791666666667,28.59392661609551,11.226808949542717
Figure 2,2D,US,ultrasound,U-Net,U-Net,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,16.214378890281235,27.11878788809787,0.43508452191881564,13.505416307111837,0.7217881944444444,35.94122533818282,19.103972628280143
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,50,150,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,6.441798995893168,32.42625439812621,0.3490339271190812,20.652052098316712,1.0,197.48345328568672,29.28599370132082
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,50,150,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,55.29513734112345,61.363510836337014,0.17623674762636732,35.683066289823174,0.9145833333333333,197.48345328568672,56.10152476068151
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,50,150,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,57.24579811136461,64.08398926263756,0.15445252369047976,37.27120280801945,0.8921006944444444,197.48345328568672,57.69800016241793
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,6.807763812549988,9.486663572177656,-0.4469410312668749,4.850048148329133,0.8625,19.804246979417638,7.063054955520613
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,9.453523382341627,14.10796473105535,0.47264744726470537,7.384309409597482,0.7807291666666667,27.41010000558933,10.581052994089664
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,50,50,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,16.19532386079027,26.876932078820076,0.4042137835470553,13.60054197641266,0.6940104166666666,32.661753657167004,19.53139187482285
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,50,150,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,3.1725772269670105,10.77158146443372,0.740353215923259,5.057825559233912,0.9200520833333333,31.989474316481076,6.028377801084101
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,50,150,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,8.708770409233841,14.089011826722135,0.6145341990931888,7.015296303169172,0.8315972222222222,31.989474316481076,9.30447449625435
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,50,150,50,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,8.659695633507509,14.669745493977139,0.5900460785338641,7.144964808993624,0.8280381944444445,31.989474316481076,9.28286296685627
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,100,100,100,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,4.411126294164417,7.430137599117513,0.32374373696843994,3.3016889306735533,0.8868055555555555,14.148677121796474,4.469328654990197
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,100,100,100,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,7.454599414368623,10.97703707015449,0.5975505034757891,5.645292980107547,0.8953125,31.23775892571349,7.4895428491234775
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,100,100,100,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,9.947411862865732,14.050709226987708,0.4936237905848887,7.477770414854164,0.9082465277777778,45.16248028033189,10.029443471109849
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,100,100,100,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,16.03748285160428,7.944762719403981,0.6262040453263729,3.493345996666803,0.834375,11.371517907072112,4.920832409130403
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,100,100,100,207,without_replacement,20260607,45,priority1_learning_curve_by_N_from_available_2d_library,7.065667925269191,11.079305213479525,0.654296691799874,5.512362242757924,0.8065104166666667,21.420593497680358,7.726234275574306
