figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm,calibrated_score
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,250,750,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.534203729833719,0.5692805924754831,0.33189240833651223,0.9119528619528621,1.7842610276644102,0.5816361082754525,2.243110847788148
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,250,750,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6307446509409382,0.9667741800047414,0.4559457337406367,0.8560236511456023,2.224244949076477,0.965120411995412,3.6683300619440304
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,250,750,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.48990837360846917,0.5330022860145148,0.3103492134369186,0.8900462962962965,1.8194212654739899,0.7653517551058536,3.1851911090709732
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.4502073633279267,0.5114326206644777,0.29105917487220895,0.8660788097779967,1.0649807270443725,0.9238788238788238,0.9157997671239291
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.4558923113376278,0.6182695942668933,0.34550973760027825,0.8656285072951738,2.1660382951903383,0.9959051424269704,1.4309873930345112
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.5741310582571608,0.6529885415263383,0.37731053544510523,0.7830151104541349,1.2675617655777862,0.9635620779746464,0.6180853773251792
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.49820572380133465,0.5521832344917516,0.30795232889990215,0.9351501122334457,1.7439730980962416,0.4990942028985508,1.0232459053809542
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.7669801600847919,1.165233558256844,0.5582136138274985,0.8531606717582327,2.214494775456673,0.9413277046439732,2.4269100646488706
Figure 3,3D,US,ultrasound,eapp_only_diffusion,Eapp-only diffusion,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6683323082698924,0.7404510837792482,0.44356704082937365,0.8867915263748596,2.393107099916723,0.7431768527732977,1.1383438216817539
Figure 3,3D,MMP,soft MMP,op_conditioned_diffusion_ours,operator-conditioned diffusion,250,750,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.2046024418245911,0.2948239897690696,0.13574061980756838,0.9307396457802963,0.891605902120507,1.0,1.1573449143533745
