seed,model,method_label,scenario_key,scenario_label,ssim_norm_retention,psnr_norm_retention,spearman_pixel_retention,mae_kpa_retention,rmse_kpa_retention,mae_norm_retention,rmse_norm_retention
4,srcnn_bz_single_channel,SRCNN,ood_unseen_operator_noise,Noise/drift OOD,1.0668478046804057,1.0490212534948962,1.1291324601631787,1.136618159577875,1.073887189420342,1.1344084537168655,1.080679834265739
4,unet_canonical_bxyz,U-Net,ood_unseen_operator_noise,Noise/drift OOD,0.9148434839477388,1.0148560309268557,0.9246916521611576,1.0759075729158953,1.1269297718157993,1.0102421159601656,1.0282244314275493
4,vanilla_diffusion,Vanilla diffusion,ood_unseen_operator_noise,Noise/drift OOD,0.779550146595677,0.8871121983907827,0.8390338651076873,0.8639353866967403,0.912046718759185,0.9165692674822982,0.9153485652680923
4,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_operator_noise,Noise/drift OOD,1.325180168449932,1.0261216029685394,0.9306182979155188,1.1142402853611015,1.1182367389773606,1.1265741374006206,1.049719345356221
4,train_mean_prior,Mean prior,ood_unseen_shape,Morphology OOD,0.786536080792767,1.0009329120684471,,0.95796153422558,0.8787740972992623,1.0312224822347942,1.0014155759170966
4,srcnn_bz_single_channel,SRCNN,ood_unseen_shape,Morphology OOD,0.7953518778769793,0.9823039151936358,0.9185412172786721,0.9326749088606543,0.8637145937179244,1.0000817462574043,0.972379445136935
4,unet_canonical_bxyz,U-Net,ood_unseen_shape,Morphology OOD,0.8058480713822673,0.9189655174144776,0.813603852226955,0.8393406852958875,0.7896527024909936,0.8542117502283759,0.8591413191098319
4,vanilla_diffusion,Vanilla diffusion,ood_unseen_shape,Morphology OOD,0.523102380374544,1.017044464481395,0.9457081698077046,0.9982523306099735,0.9402716331817809,1.0052182125978735,1.0134443258455723
4,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_shape,Morphology OOD,0.5581775088533186,0.9205067923434386,0.8401609208261349,0.8155093889039967,0.7997411707040362,0.7940538567941472,0.8627204225983321
5,train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,0.995014541716441,0.990357770370419,,0.9314266938209317,0.8666736866942829,1.0014503405928725,0.985485844215177
5,srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,0.9638821693400764,0.9768981825293473,0.9482634628828865,0.9165671562574976,0.8571501708929676,0.9855673372949008,0.9641051429748099
5,unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,0.8611445254912653,0.9856655359166396,0.9838089654236964,0.8936263260674748,0.8235734233601649,0.942403334845196,0.9735477208049783
